Nimeke,ISSN/NBN,"Digitoitu, avoin käyttö","Digitoitu, rajattu käyttö",Ilmestynyt vuosina,Digitointi-%,Niteitä,Sivuja,URL
"""Fria Blad""",fk00361,1907 - 1908,,1907 - 1908,100.00 %,4,62,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk00361
"""Kolmetoista"" : [Jalkaväkikoulutuskeskus 13, muistojulkaisu]",fk20100613,,1941,1941 - 1942,50.00 %,1,24,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk20100613
"""Lägerlivet""",fk01330,1937,1943,1937 - 1943,28.57 %,3,30,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk01330
"""Min oon meiltä"" : Vuoren rintamalehti",fk20100478,,1944,1944,100.00 %,9,44,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk20100478
"""Pystyyn pää"" : Jyväskylän partiopoikien lehti",fk20090657,,1943,1943,100.00 %,1,32,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk20090657
"""Teit isäin astumaan"" : nuorten asevelvollisten ja heidän kotiensa yhdysside",fk01702,,1941 - 1942,1941 - 1942,100.00 %,15,480,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk01702
0894,fk20100411,,1942,1942,100.00 %,1,70,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk20100411
1 april,fk20100721,1889,,1889,100.00 %,1,2,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk20100721
1/2 panos : Pellon rintamalehti,fk20100480,,1944,1944,100.00 %,13,44,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk20100480
1/2 tuntia naurua ja rakkautta,fk01998,1929,,1929,100.00 %,12,184,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk01998
10. er. järeä ptri 1941,fk20100614,,1941,1942,100.00 %,1,48,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk20100614
17 seitsemäntoista,fk07242,,1964 - 1967,1964 - 1967,100.00 %,31,2064,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk07242
2006,fk20100420,,1942,1942,100.00 %,2,8,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk20100420
29/XII 1905,fk20050954,1905,,1905,100.00 %,1,16,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk20050954
3. SKE:n sisarlehti,fk20210176,,1943 - 1944,1943 - 1944,100.00 %,4,31,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk20210176
3006,fk20100419,,1942,1942,100.00 %,5,59,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk20100419
A la Musikka,fk20090665,,1943,1943,100.00 %,1,16,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk20090665
A-B-C-liikennetaulukko,fk27846,1935 - 1939,,1936 - 1939,100.00 %,11,856,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk27846
A.kol.lehti,fk20100620,1939,,1939,100.00 %,1,9,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk20100620
AEB : de anställdas tidning : henkilökuntalehti,fk20100403,,1942 - 1944,1942 - 1947,50.00 %,23,368,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk20100403
AGA-meddelande,fk00031,"1922 - 1935, 1937 - 1939","1940, 1942",1919 - 1953,54.29 %,33,912,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk00031
AK:n kenttämakasiini,fk20100446,,1944,1944 - 2025,1.22 %,1,12,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk20100446
AKS:n tie : Akateemisen Karjala-seuran vuosikirja,fk27854,1937 - 1939,1940,1937 - 1940,100.00 %,4,1036,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk27854
ANK : kaupunkilehti Ankkuri,2489-5288,,2017 - 2020,2017 - 2025,44.44 %,354,7684,https://digi.kansalliskirjasto.fi/sanomalehti/titles/2489-5288
AOK : kurssijulkaisu,fk20100457,,1941,1941,100.00 %,1,20,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk20100457
ASF scan : bulletin of the American-Scandinavian Foundation,fk20110643,,1977,1975 - 1983,11.11 %,4,18,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk20110643
AUK,fk20100448,"1934, 1936",,1934 - 1936,66.67 %,2,124,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk20100448
AUK,fk20100455,1936 - 1939,,1936 - 1939,100.00 %,9,322,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk20100455
AUK / 7 R Pr,fk20100458,,1941,1941,100.00 %,1,44,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk20100458
AUK / II / TKK 1,fk20100459,,1941,1941,100.00 %,1,16,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk20100459
AUK / SRL:sto,fk20100463,,1944,1944,100.00 %,1,20,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk20100463
AUK / Uud. RPr,fk20100461,,1943,1943,100.00 %,1,24,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk20100461
"AUK, I / TKK 1 : muistojulkaisu",fk20100460,,1941,1942,100.00 %,1,12,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk20100460
Aallokas : Laatokan puolustajain asevelilehti,fk00008,,1942 - 1944,1942 - 1944,100.00 %,43,182,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk00008
Aamu,fk00009,"1926 - 1933, 1936 - 1939",1940,1926 - 1940,86.67 %,72,3022,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk00009
Aamulehti,0355-6913,1881 - 1939,"1940 - 1954, 2017 - 2024",1881 - 2025,56.55 %,25015,358370,https://digi.kansalliskirjasto.fi/sanomalehti/titles/0355-6913
Aamun Koitto,0355-9009,"1896 - 1907, 1918 - 1939",1940 - 1944,1896 - 2025,30.00 %,1016,10306,https://digi.kansalliskirjasto.fi/aikakausi/titles/0355-9009
Aamun koiton joulu,fk32718,"1921 - 1923, 1926 - 1927, 1929 - 1930",,1921 - 1930,70.00 %,7,210,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk32718
Aamun koiton lasten joululehti,fk32719,1931,,1931,100.00 %,1,12,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk32719
Aamunairut : aikakauslehti raittiutta ja eläwää kristillisyyttä varten,fk00010,1884 - 1896,,1884 - 1896,100.00 %,216,2390,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk00010
Aamunaurut,fk20080641,1885,,1885,100.00 %,1,4,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk20080641
Aamunkoitto,fk00011,1929,,1929,100.00 %,3,24,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk00011
Aamunväki : kristillinen lastenlehti Suomen koteihin,fk00012,1927 - 1930,,1928 - 1929,100.00 %,13,288,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk00012
Aamuposti,1459-8663,,2017 - 2024,2003 - 2025,34.78 %,2695,55748,https://digi.kansalliskirjasto.fi/sanomalehti/titles/1459-8663
Aamuposti viikko,2490-1067,,2018 - 2023,2018 - 2025,75.00 %,266,4364,https://digi.kansalliskirjasto.fi/sanomalehti/titles/2490-1067
Aamuposti viikko,2490-1083,,2018 - 2023,2018 - 2025,75.00 %,268,4404,https://digi.kansalliskirjasto.fi/sanomalehti/titles/2490-1083
Aamurusko,1457-4594,1857 - 1859,,1857 - 1859,100.00 %,114,668,https://digi.kansalliskirjasto.fi/aikakausi/titles/1457-4594
Aamurusko,fk32000,"1884 - 1885, 1887",,1884 - 1887,75.00 %,44,248,https://digi.kansalliskirjasto.fi/sanomalehti/titles/fk32000
Aamurusko : Sortawalan ewankelisen seuran lehtisiä lapsille,fk00014,"1895 - 1897, 1899, 1901 - 1915, 1920, 1922, 1924 - 1925, 1928, 1931, 1934 - 1935, 1937 - 1938",1943,1895 - 1948,55.56 %,137,548,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk00014
Aamuruskon kansa : poikien ja tyttöjen oma lehti,fk00015,1921 - 1923,,1921 - 1923,100.00 %,13,46,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk00015
Aamuset,fk14339,,2017 - 2024,1981 - 2025,17.78 %,495,18036,https://digi.kansalliskirjasto.fi/sanomalehti/titles/fk14339
Aamusäde : evankelioimislehti kaikille,fk00016,1934 - 1936,,1934 - 1936,100.00 %,3,12,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk00016
Aamuviesti,fk10003,1924 - 1925,,1924 - 1925,100.00 %,7,28,https://digi.kansalliskirjasto.fi/sanomalehti/titles/fk10003
Aatra,fk00019,"1914, 1918 - 1923",,1914 - 1923,70.00 %,74,754,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk00019
Aatteellisten yhdistysten rekisterilehti,fk20090762,1921 - 1922,,1921 - 1923,66.67 %,55,974,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk20090762
Aatteita,fk20010393,1903 - 1904,,1903 - 1904,100.00 %,2,8,https://digi.kansalliskirjasto.fi/sanomalehti/titles/fk20010393
Abracadabra!,fk20050757,1885,,1885,100.00 %,1,4,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk20050757
Acta forestalia Fennica,0001-5636,"1913 - 1915, 1917, 1919 - 1927, 1929 - 1939","1940, 1942",1913 - 1999,29.89 %,52,24955,https://digi.kansalliskirjasto.fi/aikakausi/titles/0001-5636
Ad interim,fk00022,1917,,1917,100.00 %,3,86,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk00022
Ad lucem : tidskrift för kultur och livsåskådning,0355-9653,1909 - 1939,1941 - 1944,1909 - 2025,29.91 %,233,2670,https://digi.kansalliskirjasto.fi/aikakausi/titles/0355-9653
Adam,fk00023,1936 - 1939,1941,1936 - 1941,83.33 %,5,76,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk00023
Adlon filmiuutisia,fk00024,1938 - 1939,1940,1938 - 1940,100.00 %,11,112,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk00024
Adress- och kommunalkalender för Uleåborg,fk980425,1887,,1887,100.00 %,1,112,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk980425
Adress- och yrkeskalender för Helsingfors jämte förorter,fk32397,"1898 - 1919, 1922, 1924, 1926, 1928, 1930 - 1931, 1933",,1897 - 1933,78.38 %,30,36658,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk32397
Adress-kalender och vägvisare inom hufvudstaden Helsingfors,fk20110231,"1859, 1861",,1859 - 2025,1.20 %,2,300,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk20110231
Adressbok,fk980140,1894 - 1901,,1894 - 1901,100.00 %,8,1402,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk980140
"Adressbok för Jakobstad : kommunala, handels-, industri- och yrkesupplysningar med adresser",fk36921,"1912 - 1913, 1915",,1912 - 1915,75.00 %,3,178,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk36921
Adressbok och yrkeskalender för Helsingfors,fk36925,1889 - 1915,,1889 - 1915,100.00 %,28,21733,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk36925
Adresskalender för Helsingfors stad,fk980142,"1862 - 1863, 1866 - 1876, 1878 - 1890, 1896",,1862 - 1896,77.14 %,36,5908,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk980142
Adresskalender för Åbo stad,fk980143,"1878, 1880, 1884, 1886, 1888, 1890, 1892, 1894, 1896 - 1897, 1899",,1888 - 1900,84.62 %,11,3236,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk980143
"Adresskalender, handels-, yrkes- och kommunalkalender för Vasa",fk36926,"1902, 1904 - 1905, 1914",,1904 - 1914,36.36 %,4,504,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk36926
Aero : Suomen ilmailuvoimien esikunnan toimittama julkaisu,fk00026,1921 - 1939,1940 - 1941,1921 - 1941,100.00 %,214,6810,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk00026
Affärsarbetaren : organ för Finlands affärsarbetarförbund r.f,fk02929,,1941 - 1944,1941 - 1957,23.53 %,33,156,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk02929
Affärsekonomisk revy : fritt forum för företagsledning,0400-6771,,1942 - 1944,1942 - 1967,11.54 %,12,472,https://digi.kansalliskirjasto.fi/aikakausi/titles/0400-6771
"Affärspraxis : specialorgan för kontorsorganisation, bokföring, försäljningsteknik",fk00029,1923 - 1929,,1923 - 1929,100.00 %,76,2286,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk00029
Aftonbladet,1458-0691,1892 - 1893,,1892 - 1893,100.00 %,142,581,https://digi.kansalliskirjasto.fi/sanomalehti/titles/1458-0691
Aftonposten,1458-0713,1895 - 1900,,1895 - 1900,100.00 %,1735,6922,https://digi.kansalliskirjasto.fi/sanomalehti/titles/1458-0713
Aftonposten,fk10006,1944 - 1945,,1944 - 1945,100.00 %,193,772,https://digi.kansalliskirjasto.fi/sanomalehti/titles/fk10006
Aga-tiedonanto,fk00032,"1919 - 1935, 1937 - 1939","1940, 1942",1919 - 1953,62.86 %,38,956,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk00032
Agenten : tidskrift,fk04200,1921 - 1927,,1921 - 1927,100.00 %,15,116,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk04200
Agricola : Agricola-seuran jäsenlehti,fk00033,1938 - 1939,,1938 - 1939,100.00 %,7,88,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk00033
Agricultural and food science in Finland,1239-0992,,1996 - 1998,1996 - 2003,37.50 %,14,1536,https://digi.kansalliskirjasto.fi/aikakausi/titles/1239-0992
Agricultural science in Finland,0789-600X,,1992 - 1995,1992 - 1995,100.00 %,27,3016,https://digi.kansalliskirjasto.fi/aikakausi/titles/0789-600X
Agros,fk00034,1914 - 1924,,1914 - 1924,100.00 %,111,1064,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk00034
Agros,fk00035,"1914 - 1917, 1919 - 1924",,1914 - 1924,90.91 %,98,964,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk00035
Ahjo,fk02934,1936 - 1939,,1936 - 1939,100.00 %,18,436,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk02934
Ahjo : Karjalan neuvostokirjailijain albumi,fk20080609,1933 - 1934,,1933 - 1934,100.00 %,2,170,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk20080609
Ahjo : Työväen-opiston toimittama sosialistinen tieteellis-kaunokirjallinen kuukausijulkaisu,fk34057,1916 - 1921,,1916 - 1922,85.71 %,22,1588,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk34057
Ahti,1458-0500,1878 - 1881,,1878 - 1881,100.00 %,159,654,https://digi.kansalliskirjasto.fi/sanomalehti/titles/1458-0500
Ahti,fk16561,"1896, 1898, 1903, 1905, 1930",,1896 - 2025,3.85 %,5,52,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk16561
Aika,fk32001,1901 - 1902,,1901 - 1904,50.00 %,33,132,https://digi.kansalliskirjasto.fi/sanomalehti/titles/fk32001
Aika,fk00038,1906 - 1922,,1906 - 1922,100.00 %,182,12853,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk00038
Aika,fk10050,1932 - 1933,,1932 - 1933,100.00 %,168,900,https://digi.kansalliskirjasto.fi/sanomalehti/titles/fk10050
Aika : the only Finnish newsspaper [!] in Canada,0845-7875,1903 - 1904,,1901 - 1904,50.00 %,17,608,https://digi.kansalliskirjasto.fi/sanomalehti/titles/0845-7875
Aika ja mies,fk02937,1936 - 1939,1941,1936 - 1958,21.74 %,25,596,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk02937
Aikain vartija : sanomalehti oikean kristillisen siveyden edistämiseksi,fk04182,1896 - 1939,1940 - 1944,1896 - 1945,98.00 %,596,8324,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk04182
Aikain vartijan lisälehti,fk02570,1911 - 1916,,1911 - 1916,100.00 %,71,644,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk02570
Aikakauslehti koneenkäyttäjille ja veturimiehille Suomessa,fk00040,"1903 - 1913, 1916 - 1917",,1903 - 1917,86.67 %,155,2380,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk00040
Aikakauslehti konttoriteho,fk00041,"1935, 1937",,1935 - 1937,66.67 %,4,80,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk00041
Aikakauslehti lasten wanhemmille ja kaswattajille,fk00042,"1896 - 1897, 1899 - 1900",,1896 - 1899,100.00 %,17,368,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk00042
Aikamme,fk00043,1905,,1905,100.00 %,1,12,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk00043
Aikamme,0707-4891,,1977,1977 - 2025,2.04 %,1,24,https://digi.kansalliskirjasto.fi/aikakausi/titles/0707-4891
Aikamme aallot,fk00044,1931,,1931,100.00 %,3,12,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk00044
Aikasytytin : Helsingin It-miesten jäsenlehti,fk00046,,1940 - 1941,1940 - 1941,100.00 %,2,8,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk00046
Aikataulut : rautateiden ja höyrylaivojen kulkuvuorot,fk20090682,1907 - 1909,,1907 - 1909,100.00 %,18,2025,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk20090682
Aineensäästäjä : aineensäästö- ja aineenhuoltolehti,fk00047,,1942 - 1943,1942 - 1943,100.00 %,6,108,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk00047
Airut : Sibelius-seuran julkaisu,fk34875,1917,,1917,100.00 %,1,72,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk34875
Aitosuomalainen,fk00049,1924 - 1939,,1924 - 1939,100.00 %,516,6857,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk00049
Aitta,fk00050,1926 - 1930,,1926 - 1930,100.00 %,50,4378,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk00050
Ajan Sana,fk10008,1930 - 1932,,1930 - 1932,100.00 %,544,2901,https://digi.kansalliskirjasto.fi/sanomalehti/titles/fk10008
Ajan Suunta,fk10009,1932 - 1939,1940 - 1944,1932 - 1944,100.00 %,3341,18118,https://digi.kansalliskirjasto.fi/sanomalehti/titles/fk10009
Ajan joulu : Satakunnan työväen joululehti,0789-5070,,1942 - 1944,1942 - 1993,5.77 %,3,128,https://digi.kansalliskirjasto.fi/aikakausi/titles/0789-5070
Ajan kuvastin : kansantajuinen aikakauslehti,fk00052,1922,,1922,100.00 %,17,138,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk00052
Ajan sana,fk20712,,1949 - 1958,1949 - 1958,100.00 %,109,1144,https://digi.kansalliskirjasto.fi/sanomalehti/titles/fk20712
Ajan Ääni,fk10010,1930 - 1931,,1930 - 1931,100.00 %,9,36,https://digi.kansalliskirjasto.fi/sanomalehti/titles/fk10010
Ajanviete- ja matkalukemisto,fk00061,1925,,1925,100.00 %,1,80,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk00061
Ajatar : Suomen koulunuorisoliiton äänenkannattaja,fk00063,1920 - 1921,,1920 - 1921,100.00 %,7,112,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk00063
Ajatuksen vapaus,fk00064,1937 - 1939,,1937 - 1939,100.00 %,19,372,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk00064
Ajatus : Suomen filosofisen yhdistyksen vuosikirja,0355-1725,"1925 - 1927, 1929 - 1930, 1932 - 1934, 1936, 1938, 1958, 1995 - 1996, 2000 - 2003, 2005 - 2015","1941 - 1944, 1947 - 1948, 1950, 1952, 1954, 1956 - 1957, 1959 - 1960, 1962 - 1973, 1976, 1978, 1980, 1983 - 1994, 1997 - 1999, 2004, 2016 - 2017",1926 - 2025,74.00 %,75,19094,https://digi.kansalliskirjasto.fi/aikakausi/titles/0355-1725
Ajokoirakokeet,fk20090763,1925,,1925,100.00 %,1,70,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk20090763
Ajuri,fk00065,1906 - 1913,,1906 - 1913,100.00 %,85,764,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk00065
Ajuri,fk00066,1917 - 1924,,1917 - 1924,100.00 %,21,260,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk00066
Akaan Seutu,1239-4343,,2017 - 2024,1996 - 2025,26.67 %,399,12176,https://digi.kansalliskirjasto.fi/sanomalehti/titles/1239-4343
Akaan seurakunnan nuorten joulu,fk27852,1934 - 1939,1940 - 1941,1934 - 1941,100.00 %,8,104,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk27852
Akademiska sångföreningens klubbtidning,fk20050758,1895,,1895,100.00 %,1,4,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk20050758
Akateemisen Karjala-seuran vuosikertomus,fk27855,1922 - 1939,1940,1923 - 1941,100.00 %,19,676,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk27855
Akateemisten naisten Karjala-seura : jäsenlehti,fk00068,1939,1940 - 1944,1939 - 1944,100.00 %,22,216,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk00068
Aktivisten,fk00070,1930 - 1931,,1930 - 1931,100.00 %,13,210,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk00070
Aktivisti,fk00071,1929 - 1931,,1930 - 1932,100.00 %,23,492,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk00071
Aktuellt,fk20714,,1956,1956,100.00 %,2,16,https://digi.kansalliskirjasto.fi/sanomalehti/titles/fk20714
Akvarioystävä : Turun akvarioystävät r.y:n kustantama,fk00126,,1944,1944,100.00 %,10,152,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk00126
Al sano -osuuskunnan ilmoituslehti,fk00074,1932 - 1937,,1932 - 1937,100.00 %,26,226,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk00074
Ala-Keitele,fk10011,,"1947 - 1948, 1950 - 1952",1945 - 1952,62.50 %,173,648,https://digi.kansalliskirjasto.fi/sanomalehti/titles/fk10011
Alakansakoulu,fk00075,1925 - 1939,1940 - 1944,1925 - 1945,95.24 %,517,7268,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk00075
Alasatakunta,0782-5684,,2017 - 2024,1974 - 2025,15.38 %,776,16216,https://digi.kansalliskirjasto.fi/sanomalehti/titles/0782-5684
Alavieska,fk14352,,2016 - 2024,1983 - 2025,20.93 %,213,3408,https://digi.kansalliskirjasto.fi/sanomalehti/titles/fk14352
"Alavuden, Kuortaneen ja Töysän Sanomat",fk10012,1925 - 1926,,1925 - 1926,100.00 %,85,340,https://digi.kansalliskirjasto.fi/sanomalehti/titles/fk10012
Albert Engströmin piirustuksia ja juttuja,fk00076,1925,,1925,100.00 %,3,24,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk00076
Album utgifvet af nyländingar,fk980711,"1860, 1864, 1866, 1868, 1872, 1875, 1878, 1881, 1883, 1891, 1903",,1860 - 1903,25.00 %,11,2552,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk980711
Album utgivet av Nagu ungdomsförening,fk36928,1915,,1915,100.00 %,1,126,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk36928
Album utgivet av Åbo avdelning,fk36929,1910 - 1911,,1910 - 1911,100.00 %,2,412,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk36929
Alempi kansanopetus,fk00078,1905 - 1917,,1905 - 1917,100.00 %,137,1252,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk00078
Alfa,fk00079,1934,,1934,100.00 %,3,48,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk00079
Alkoholikysymys,0002-5526,1932 - 1939,1940 - 1944,1932 - 1982,25.49 %,37,2626,https://digi.kansalliskirjasto.fi/aikakausi/titles/0002-5526
Alkoholiliikkeen aikakauskirja,0782-856X,1936 - 1939,1940 - 1944,1936 - 1952,52.94 %,58,1946,https://digi.kansalliskirjasto.fi/aikakausi/titles/0782-856X
Alkon kansanravintola oy:n tiedonantoja henkilökunnalleen,fk00081,1939,,1939,100.00 %,6,24,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk00081
"Alkuopetus : alkuopetusta käsittelevä, 2:sti kuussa ilmestyvä kuvallinen aikakauslehti",fk00082,1918 - 1924,,1918 - 1924,100.00 %,142,1262,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk00082
Alkupotku : jalka- ja jääpalloilun erikoislehti,fk00083,1938 - 1939,,1938 - 1939,100.00 %,3,150,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk00083
Allas Journal,fk00084,1921 - 1923,,1921 - 1923,100.00 %,95,1960,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk00084
Allas Krönika,fk00085,1923 - 1934,,1923 - 1934,100.00 %,380,12462,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk00085
Alles fertig? : Los. SOS,fk20090223,1929,,1929,100.00 %,1,6,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk20090223
Allmän evangelisk tidning,fk00086,1845 - 1848,,1845 - 1848,100.00 %,49,810,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk00086
Allmän litteraturtidning  utgifven af ett sällskap i Åbo,fk00087,1803,,1500 - 1803,0.33 %,104,848,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk00087
"Almanach, för året efter frälsarens Christi födelse ... till Åbo horizont ... /",fk20170041,1810 - 1832,,1809 - 1831,100.00 %,23,1086,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk20170041
Almanack för året ... efter vår Frälsares Kristi födelse,0786-5902,,1976 - 1995,1975 - 1994,100.00 %,20,1472,https://digi.kansalliskirjasto.fi/aikakausi/titles/0786-5902
"Almanack för året ... efter vår Frälsares Kristi födelse, till Helsingfors horisont",0787-3999,1833 - 1939,1940 - 1975,1832 - 1974,100.00 %,143,14048,https://digi.kansalliskirjasto.fi/aikakausi/titles/0787-3999
"Almanacka, wuonna jälkeen wapahtajan Christuxen syndymän ... Turun horizontin jälkeen ... /",fk20170040,1810 - 1832,,1809 - 1831,100.00 %,24,1104,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk20170040
Almanakka vuodeksi ... jälkeen Vapahtajamme Kristuksen syntymän,0786-5848,,1976 - 1995,1976 - 1994,100.00 %,20,1472,https://digi.kansalliskirjasto.fi/aikakausi/titles/0786-5848
"Almanakka vuodeksi ... jälkeen Vapahtajamme Kristuksen syntymän, Helsingin horisontin mukaan",0787-4014,1833 - 1939,1940 - 1975,1832 - 1974,100.00 %,157,15660,https://digi.kansalliskirjasto.fi/aikakausi/titles/0787-4014
Alpha : ehdottoman raittiuden äänenkannattaja,fk00088,1887 - 1892,,1887 - 1892,100.00 %,59,960,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk00088
Alueviesti,1236-0619,,2016 - 2024,1986 - 2025,22.50 %,430,16020,https://digi.kansalliskirjasto.fi/sanomalehti/titles/1236-0619
Amerikan Kaiku,fk32003,1903 - 1908,,1903 - 1908,100.00 %,181,1660,https://digi.kansalliskirjasto.fi/sanomalehti/titles/fk32003
Amerikan Kuulumisia,fk32004,1904,,1904,100.00 %,20,80,https://digi.kansalliskirjasto.fi/sanomalehti/titles/fk32004
Amerikan Matti,fk20110193,"1910, 1917",,1909 - 1917,22.22 %,2,40,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk20110193
Amerikan Sanomat,fk32002,,1924 - 1925,1924 - 1937,14.29 %,5,40,https://digi.kansalliskirjasto.fi/sanomalehti/titles/fk32002
Amerikan Suomalainen,fk32011,1894,,1894,100.00 %,42,354,https://digi.kansalliskirjasto.fi/sanomalehti/titles/fk32011
Amerikan Suomalainen Lehti,fk32006,1879 - 1894,,1879 - 1894,100.00 %,728,2995,https://digi.kansalliskirjasto.fi/sanomalehti/titles/fk32006
